Reference,STEP_pad1_X_mm,STEP_pad1_Y_mm,Pins,KiCad_pad1_X_mm,KiCad_pad1_Y_mm,Pitch_mm
J17,3.23,47.76,6,33.23,77.75999999999999,2.54
J18,3.23,50.32,6,33.23,80.32,2.54
J19,3.23,52.88,6,33.23,82.88,2.54
J20,3.23,55.44,6,33.23,85.44,2.54
J7,19.74,47.76,14,49.739999999999995,77.75999999999999,2.54
J8,19.74,50.32,14,49.739999999999995,80.32,2.54
J9,19.74,52.88,14,49.739999999999995,82.88,2.54
J10,19.74,55.44,14,49.739999999999995,85.44,2.54
J11,19.74,-10.44,14,49.739999999999995,19.560000000000002,2.54
J12,19.74,-7.9,14,49.739999999999995,22.1,2.54
J13,19.74,-5.36,14,49.739999999999995,24.64,2.54
J14,19.74,-2.82,14,49.739999999999995,27.18,2.54
